nombre,especie,planeta_origen,faccion,ocupacion,altura_cm,peso_kg,edad_aprox,sensible_fuerza,peliculas,misiones,recompensa_creditos,creditos_ganados
Luke Skywalker,Humano,Tatooine,Rebelde,Jedi,172,77,19,True,6,12,8500,42000
Leia Organa,Humano,Alderaan,Rebelde,Lider,150,49,19,False,6,18,9200,51000
Han Solo,Humano,Corellia,Rebelde,Contrabandista,180,80,32,False,5,24,15000,96000
Chewbacca,Wookiee,Kashyyyk,Rebelde,Guerrero,228,112,200,False,5,21,12000,73500
Obi-Wan Kenobi,Humano,Stewjon,Jedi,Jedi,182,81,57,True,6,30,5000,90000
Yoda,Especie_desconocida,Desconocido,Jedi,Jedi,66,17,900,True,6,40,3000,160000
Darth Vader,Humano,Tatooine,Imperio,Sith,202,136,41,True,6,35,50000,175000
Emperor Palpatine,Humano,Naboo,Imperio,Sith,173,75,84,True,5,42,60000,210000
C-3PO,Droide,Tatooine,Rebelde,Protocolo,167,75,32,False,6,14,2000,21000
R2-D2,Droide,Naboo,Rebelde,Astromecanico,96,32,33,False,6,27,2500,67500
Lando Calrissian,Humano,Socorro,Rebelde,Lider,177,79,31,False,4,16,11000,56000
Boba Fett,Humano,Kamino,Independiente,Cazarrecompensas,183,78,36,False,4,20,70000,140000
Jabba the Hutt,Hutt,Nal Hutta,Independiente,Criminal,390,1358,600,False,3,10,100000,125000
Qui-Gon Jinn,Humano,Coruscant,Jedi,Jedi,193,89,60,True,1,19,4000,57000
Mace Windu,Humano,Haruun Kal,Jedi,Jedi,188,84,53,True,3,28,4500,98000
Padme Amidala,Humano,Naboo,Republica,Senadora,165,45,27,False,3,15,6000,37500
Anakin Skywalker,Humano,Tatooine,Republica,Jedi,188,84,22,True,3,29,7500,101500
Ahsoka Tano,Togruta,Shili,Rebelde,Jedi,170,58,17,True,4,26,9000,91000
Finn,Humano,Desconocido,Resistencia,Soldado,178,73,23,False,3,17,8000,42500
Rey,Humano,Jakku,Resistencia,Jedi,170,54,19,True,3,22,9500,66000
